text,label
"kamu sudah makan siang belum tadi",normal
"tampar kamu baru tahu rasa",kdrt
"sudah kubilang jangan bantah, awas kalau berani",kdrt
"aku senang banget hari ini jalan-jalan",normal
"anak-anak main di taman sore tadi",normal
"gua bisa bikin kamu menyesal seumur hidup",kdrt
"jangan coba-coba keluar dari rumah ini",kdrt
"aku hajar kamu kalau ulangi lagi",kdrt
"kamu tidak akan bisa lari dariku",kdrt
"hari ini cuacanya cerah sekali ya",normal
"kamu memang goblok, tidak becus mengurus apa-apa",kdrt
"tolong ambilkan air minum di dapur",normal
"gimana kabar kamu hari ini, sehat kan",normal
"kerjaan kantor hari ini lumayan santai",normal
"aku baru selesai masak buat makan malam",normal
"kucing kita lucu banget lagi tidur",normal
"awas kalau kamu berani lawan aku lagi",kdrt
"beraninya kamu melawan, akan kubuat kapok",kdrt
"terima kasih sudah bantu aku hari ini",normal
"dasar bodoh, kamu tidak berguna",kdrt
"besok kita jadi ketemuan jam berapa",normal
"aku baru beres beres rumah tadi pagi",normal
"kamu pantas dipukul kalau begini terus",kdrt
"nanti malam kita diskusi rencana liburan ya",normal
"kamu bikin aku marah terus, mau kucekik ya",kdrt
"diam! jangan banyak bicara atau kupukul kamu",kdrt
"aku lagi belajar masak resep baru",normal
"diam kamu, jangan macam-macam sama aku",kdrt
"aku bisa hancurkan hidup kamu kapan saja",kdrt
"aku mau nonton film habis ini, mau ikut",normal
